id,type,building_name,floor,x,y
50,path,Heller Hall,0B,-93.24344574191312,44.971608136775416
53,path,Blegen Hall,0B,-93.24338303142144,44.97160785015614
54,path,Blegen Hall,0B,-93.24318503374968,44.97160716760818
56,path,Willey Hall,0G,-93.24338913367718,44.973024260773144
57,path,Willey Hall,0G,-93.24366986977986,44.97322263549035
58,path,Willey Hall,0G,-93.24388678956478,44.97322158182866
59,path,Willey Hall,0G,-93.24391373992162,44.97318285498135
61,path,Mondale Hall,SP,-93.24397234780737,44.9732669744216
62,path,Mondale Hall,SP,-93.24404033230809,44.973266695436564
63,path,Mondale Hall,SP,-93.24404044819076,44.973190967800164
64,path,Mondale Hall,SP,-93.24492914072155,44.97319171197298
66,path,Social Sciences Bldg,0B,-93.24312583746739,44.97150802584092
67,path,Social Sciences Bldg,0B,-93.24312569283863,44.971589681285735
68,path,Social Sciences Bldg,0B,-93.24292272658501,44.97158965904254
70,path,Social Sciences Bldg,0B,-93.24279306735016,44.97158170042853
71,path,Social Sciences Bldg,0B,-93.24316636945302,44.971607097065494
72,path,Social Sciences Bldg,0B,-93.24316652486156,44.971589810931775
73,path,Social Sciences Bldg,0B,-93.24303474739925,44.97158956625666
74,path,Anderson Hall,01,-93.2427387381401,44.971581313396996
75,path,Anderson Hall,01,-93.2423436033826,44.97161474427144
76,path,Anderson Hall,01,-93.24237549806676,44.97180568068577
77,path,Anderson Hall,01,-93.24233451153361,44.97154819772106
80,path,Anderson Hall,01,-93.24239341316847,44.971500677951
83,path,Anderson Hall,01,-93.24241160764623,44.971448236029424
86,path,Anderson Hall,01,-93.24238361434536,44.97138883827263
89,path,Anderson Hall,01,-93.24231614278268,44.97134016998143
92,path,Anderson Hall,01,-93.24221257242031,44.97131965149881
94,path,Anderson Hall,01,-93.2423363090625,44.97180882014125
96,path,Walter Library,0B,-93.23600252784433,44.9747893893263
97,path,Walter Library,0B,-93.2360040001831,44.975124172261964
98,path,Walter Library,0B,-93.23605517361158,44.975124238351974
99,path,Walter Library,0B,-93.23605325930171,44.97533963217417
100,path,Walter Library,0B,-93.23605242925838,44.97543311729089
101,path,Walter Library,0B,-93.23600633400622,44.97543333525954
102,path,Walter Library,0B,-93.23600605642679,44.97554158423759
103,path,Walter Library,0B,-93.23598942591592,44.97556734388399
104,path,Walter Library,0B,-93.2360789017115,44.97533970144128
105,path,Smith Hall,0B,-93.23604364283659,44.97448485365569
106,path,Smith Hall,0B,-93.23600881784796,44.97448464458026
107,path,Johnston Hall,0B,-93.23598945825529,44.97577589898471
108,path,Johnston Hall,0B,-93.23598058020532,44.97579428449613
109,path,Johnston Hall,0B,-93.23610077568866,44.975793861906496
110,path,Johnston Hall,0B,-93.23626873549397,44.97579314827016
111,path,Johnston Hall,0B,-93.23642621016326,44.9757921543902
112,path,Johnston Hall,0B,-93.23642668986362,44.97582405195608
113,path,Johnston Hall,0B,-93.23642696025652,44.97586525345559
115,path,Johnston Hall,0B,-93.23597869553986,44.97579818947837
116,path,Johnston Hall,0B,-93.2359788033377,44.975876694498446
117,path,Johnston Hall,0B,-93.23578461991262,44.975877197157
118,path,Johnston Hall,0B,-93.23578443755461,44.975869681426694
119,path,Johnston Hall,0B,-93.23576808013159,44.975869729087115
120,path,Northrop Memorial Auditorium,0B,-93.23495671008888,44.97586816074144
121,path,Northrop Memorial Auditorium,0B,-93.23491563552084,44.97585571755683
122,path,Northrop Memorial Auditorium,0B,-93.23487973794377,44.97585453049432
123,path,Northrop Memorial Auditorium,0B,-93.23488799974943,44.97620609692906
124,path,Northrop Memorial Auditorium,0B,-93.23495787789876,44.976044976190316
125,path,Northrop Memorial Auditorium,0B,-93.2349607489144,44.97586816836714
126,path,Ford Hall,0B,-93.23424165561431,44.973946767861364
127,path,Ford Hall,0B,-93.23422314492954,44.973946676350295
128,path,Ford Hall,0B,-93.23422466218406,44.974108460083094
129,path,Ford Hall,0B,-93.2343316506361,44.974108331078256
130,path,Ford Hall,0B,-93.23433316789061,44.974255292183976
131,path,Murphy Hall,0B,-93.2343182855013,44.97436258506841
132,path,Murphy Hall,0B,-93.23423574739468,44.9743629371293
133,path,Murphy Hall,0B,-93.23423475295967,44.97455429271231
134,path,Murphy Hall,0B,-93.23422518141031,44.97455419738928
135,path,Murphy Hall,0B,-93.23423525062633,44.97470097496813
136,path,Murphy Hall,0B,-93.23429198103315,44.974701869731334
137,path,Murphy Hall,0B,-93.2342921139838,44.97478930925529
138,path,Amundson Hall,0B,-93.23242145055805,44.974159614608936
139,path,Amundson Hall,0B,-93.23242312950934,44.973958618544785
140,path,Amundson Hall,0B,-93.23258922980199,44.973958745008
141,path,Amundson Hall,0B,-93.23258953702583,44.973932442562855
142,path,Church Street Garage,0A,-93.23487879291609,44.97622236174465
150,path,Church Street Garage,0A,-93.23477548306516,44.976327147207954
153,path,Church Street Garage,0A,-93.23477401521798,44.976630041859295
154,path,Church Street Garage,0A,-93.23495923435483,44.97670520447598
155,path,Church Street Garage,0A,-93.23503125857937,44.976705229894506
156,path,Church Street Garage,0A,-93.2350317831955,44.976850321172286
157,path,Church Street Garage,0A,-93.2350632808243,44.976863758638004
158,path,Civil Engineering Bldg,02,-93.23265613093447,44.97586991718688
159,path,Civil Engineering Bldg,02,-93.23272070093876,44.975907596232936
162,path,Civil Engineering Bldg,02,-93.23220331086098,44.97654939127064
163,path,Civil Engineering Bldg,02,-93.23171364099625,44.97635247247754
164,path,Civil Engineering Bldg,02,-93.23165255106535,44.97632813281757
165,path,Civil Engineering Bldg,02,-93.23163826425909,44.976322551508815
166,path,Civil Engineering Bldg,02,-93.23165464054671,44.97630183273007
167,path,Civil Engineering Bldg,02,-93.23162882476207,44.97629077686541
168,path,Civil Engineering Bldg,02,-93.23267501711499,44.97587694042618
169,path,Civil Engineering Bldg,02,-93.2326748760795,44.97585293927122
170,path,Civil Engineering Bldg,02,-93.23267207962402,44.975814442971135
172,path,Civil Engineering Bldg,02,-93.23269924108496,44.97581419323027
173,path,Civil Engineering Bldg,02,-93.23279739011458,44.97588515263298
174,path,Civil Engineering Bldg,02,-93.23280125197198,44.97598542941037
177,path,University Avenue Ramp,0B,-93.22816456978522,44.975837751477
178,path,University Avenue Ramp,0B,-93.22818886382377,44.97580742925629
179,path,University Avenue Ramp,0B,-93.22805902312923,44.975516131514624
